.ie mi klama	Yep! I'll go.	http://lojban.github.io/cll/2/16/
.ei mi klama	I should go.	http://lojban.github.io/cll/2/16/
mi klama le melbi .ui	I go to the beautiful-thing, which makes me feel happy.	http://lojban.github.io/cll/2/16/
mi klama .i do stali	I go. You stay.	http://lojban.github.io/cll/2/16/
mi klama .i ji'a do stali	I go. In addition, you stay.	http://lojban.github.io/cll/2/16/
mi klama .i ku'i do stali	I go. However, you stay.	http://lojban.github.io/cll/2/16/
pe'i do melbi	I opine! You are beautiful.	http://lojban.github.io/cll/2/16/
za'a do melbi	I directly observe! You are beautiful.	http://lojban.github.io/cll/2/16/
la djan. klama le zarci	John goes to the store.	http://lojban.github.io/cll/2/17/
la djan. pu klama le zarci	John went to the store.	http://lojban.github.io/cll/2/17/
la djan. ca klama le zarci	John goes to the store.	http://lojban.github.io/cll/2/17/
do vu vecnu zo'e	You yonder sell something unspecified.	http://lojban.github.io/cll/2/17/
le pu bajra cu tavla	The former runner talks.	http://lojban.github.io/cll/2/17/
le vi bajra cu tavla	This runner talks.	http://lojban.github.io/cll/2/17/
le vi tavla cu ba klama	This talker will go.	http://lojban.github.io/cll/2/17/
skami plino	computer user	http://lojban.github.io/cll/4/5/
barda bloti	ship	http://lojban.github.io/cll/4/5/
patfu mamta	paternal grandmother	http://lojban.github.io/cll/4/5/
mamta patfu	maternal grandfather	http://lojban.github.io/cll/4/5/
sampli	user of computers	http://lojban.github.io/cll/4/5/
bralo'i	ship	http://lojban.github.io/cll/4/5/
mampa'u	maternal grandfather	http://lojban.github.io/cll/4/5/
soirsai	field rations	http://lojban.github.io/cll/4/5/
mamtypatfu	maternal grandfather	http://lojban.github.io/cll/4/6/
lerfyliste	list of letters	http://lojban.github.io/cll/4/6/
nancyprali	annual profit	http://lojban.github.io/cll/4/6/
prunyplipe	elastic leap (spring)	http://lojban.github.io/cll/4/6/
vancysanmi	supper	http://lojban.github.io/cll/4/6/
cumfri	possible experience	http://lojban.github.io/cll/4/6/
klezba	category make	http://lojban.github.io/cll/4/6/
kixta'a	cry-out talk	http://lojban.github.io/cll/4/6/
sniju'o	sign know	http://lojban.github.io/cll/4/6/
mampa'u	maternal grandfather	http://lojban.github.io/cll/4/6/
lerste	list of letters	http://lojban.github.io/cll/4/6/
xy. zei kantu	X ray	http://lojban.github.io/cll/4/6/
kulnr,farsi zei lolgai	Persian rug	http://lojban.github.io/cll/4/6/
na'e zei .a zei na'e zei by. Livgyterbilma	non-A, non-B hepatitis	http://lojban.github.io/cll/4/6/
.cerman. zei jamkarce	Sherman tank	http://lojban.github.io/cll/4/6/
cidj,r,spageti 	spaghetti	http://lojban.github.io/cll/4/7/
tric,r,xaceru 	Acer (the scientific name of maple trees)	http://lojban.github.io/cll/4/7/
cirl,r,bri	brie (cheese)	http://lojban.github.io/cll/4/7/
lerf,r,djamo 	Jamo (Korean Hangul letters)	http://lojban.github.io/cll/4/7/
